Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Affiliations;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Name Preferred;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;DOI Link;Book DOI;Early Access Date;Number of Pages;WoS Categories;Web of Science Index;Research Areas;IDS Number;Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;UT (Unique WOS ID);Web of Science Record
J;"Righi, A; Gambarotti, M; Manfrini, M; Benini, S; Gamberi, G; Cocchi, S; Casadei, R; Picci, P; Vanel, D; Dei Tos, AP";;;;"Righi, A.; Gambarotti, M.; Manfrini, M.; Benini, S.; Gamberi, G.; Cocchi, S.; Casadei, R.; Picci, P.; Vanel, D.; Dei Tos, A. P.";;;Sclerosing epithelioid fibrosarcoma of the thigh: report of two cases with synchronous bone metastases;VIRCHOWS ARCHIV;;;English;Article;;;;;;"Sclerosing epithelioid fibrosarcoma; Bone; Thigh; MUC4; SATB2";"GRADE FIBROMYXOID SARCOMA; DIFFERENTIATION; MARKER";We report two cases of sclerosing epithelioid fibrosarcoma occurring in the deep soft tissue of the thigh, confirmed by molecular analysis and associated with bone metastases in the lumbar vertebrae and the iliac wing at the time of diagnosis. Synchronous bone metastases of sclerosing epithelioid fibrosarcoma are extremely difficult to diagnose because clinical and radiological features are not specific. In addition, the range of differential diagnoses is very wide, including metastatic carcinoma and osteosarcoma. At present, all but three published cases of sclerosing epithelioid fibrosarcoma with bone metastases showed bone metastases during follow-up. We confirm in our two cases that the distinct pattern of immunohistochemical staining for MUC4, associated with the absence of staining for both SATB2, a marker of osteoblastic differentiation, and pan-cytokeratin, allows differentiating between sclerosing epithelioid fibrosarcoma and metastatic carcinoma or osteosarcoma.;"[Righi, A.; Gambarotti, M.; Benini, S.; Gamberi, G.; Cocchi, S.; Picci, P.; Vanel, D.; Dei Tos, A. P.] Rizzoli Inst, Dept Pathol, I-40136 Bologna, Italy; [Manfrini, M.; Casadei, R.] Rizzoli Orthopaed Inst, Dept Oncol, Bologna, Italy; [Dei Tos, A. P.] Treviso Reg Hosp, Dept Pathol, I-31100 Treviso, Italy; [Gamberi, G.] Univ Bologna, Dept Biomed & Neuromotor Sci, Bologna, Italy";"IRCCS Istituto Ortopedico Rizzoli; ULSS 2 Marca TV; Ospedale Ca' Foncello Treviso; University of Bologna";Righi, A (corresponding author), Rizzoli Inst, Dept Pathol, Via Barbiano 1-10, I-40136 Bologna, Italy.;alberto.righi@ior.it;"Dei Tos, Angelo/AAN-3244-2020; Gambarotti, Marco/C-6878-2019; BENINI, STEFANIA/D-1804-2019; righi, alberto/J-6028-2016; Picci, Piero/J-5979-2016; COCCHI, STEFANIA/D-1725-2019";"Dei Tos, Angelo/0000-0002-1228-8940; Gambarotti, Marco/0000-0002-8080-4484; BENINI, STEFANIA/0000-0003-0958-9088; righi, alberto/0000-0002-1074-0155; Picci, Piero/0000-0002-8519-4101; COCCHI, STEFANIA/0000-0001-6853-4621; MANFRINI, MARCO/0000-0003-2961-0171";;;;;19;11;12;0;4;SPRINGER;NEW YORK;233 SPRING ST, NEW YORK, NY 10013 USA;0945-6317;1432-2307;;VIRCHOWS ARCH;Virchows Arch.;SEP;2015;467;3;;;;;339;344;;10.1007/s00428-015-1810-z;http://dx.doi.org/10.1007/s00428-015-1810-z;;;6;Pathology;Science Citation Index Expanded (SCI-EXPANDED);Pathology;CQ3NK;26209924;;;;2024-04-12;WOS:000360508900012;View Full Record in Web of Science
J;"Kesrouani, C; Zemoura, L; Trassard, M; Laé, M";;;;"Kesrouani, Carole; Zemoura, Leila; Trassard, Martine; Lae, Marick";;;A hybrid lesion: Low-grade fibromyxoid sarcoma (LGFMS) and sclerosing epithelioid fibrosarcoma (SEF);ANNALES DE PATHOLOGIE;;;French;Article;;;;;;"Low-grade fibromyxoid sarcoma; Sclerosing epithelioid fibrosarcoma; MUC4; EWSR1; FUS";TUMOR;We report the case of a 34-year-old woman presenting a 10 cm axillary mass diagnosed as hybrid tumor low-grade fibromyxoid sarcoma/sclerosing epithelioid fibrosarcoma. Microbiopsy for morphological and immunohistochemical analyses was associated with molecular analysis (FISH and PCR) to confirm the diagnosis. (C) 2016 Elsevier Masson SAS. All rights reserved.;"[Kesrouani, Carole; Lae, Marick] Inst Curie, Serv Pathol, 26 Rue Ulm, F-75248 Paris, France; [Zemoura, Leila] Hop Foch, Serv Pathol, 40 Rue Worth, F-92150 Suresnes, France; [Trassard, Martine] Hop Rene Huguenin, Inst Curie, Serv Pathol, 26 Rue Ulm, F-75248 Paris, France";"UNICANCER; Universite PSL; Institut Curie; Hospital Foch; UNICANCER; Universite PSL; Institut Curie; Rene Huguenin Hospital";Laé, M (corresponding author), Inst Curie, Serv Pathol, 26 Rue Ulm, F-75248 Paris, France.;marick.lae@curie.fr;;;;;;;9;1;2;0;2;MASSON EDITEUR;MOULINEAUX CEDEX 9;21 STREET CAMILLE DESMOULINS, ISSY, 92789 MOULINEAUX CEDEX 9, FRANCE;0242-6498;;;ANN PATHOL;Ann. Pathol.;OCT;2016;36;5;;;;;351;354;;10.1016/j.annpat.2016.07.002;http://dx.doi.org/10.1016/j.annpat.2016.07.002;;;4;Pathology;Science Citation Index Expanded (SCI-EXPANDED);Pathology;EB2PG;27641819;;;;2024-04-12;WOS:000387203700014;View Full Record in Web of Science
J;"Murshed, KA; Al-Bozom, I; Ammar, A";;;;"Murshed, Khaled A.; Al-Bozom, Issam; Ammar, Adham";;;Sclerosing epithelioid fibrosarcoma: in-depth review of a genetically heterogeneous tumor;APMIS;;;English;Review;;;;;;"Sclerosing epithelioid fibrosarcoma; low-grade fibromyxoid sarcoma; soft tissue; MUC4; EWSR1";GRADE FIBROMYXOID SARCOMA;First described in 1995 by Meis-Kindbloom et al. as a variant of fibrosarcoma simulating carcinoma, sclerosing epithelioid fibrosarcoma (SEF) is a malignant soft tissue sarcoma characterized by epithelioid cells in dense sclerotic stroma, frequent immunoreactivity for MUC4 and heterogeneous genetic profile with recurrent EWSR1 gene rearrangement. It typically affects middle-age adults with a predilection for the lower extremity. It is believed that SEF is closely related to low-grade fibromyxoid sarcoma (LGFMS), both tumors show overlapping features in morphology, immunophenotype, and molecular profile. In this review, we discuss the clinical, morphologic, and immunohistochemical features of SEF with particular emphasis on its molecular diversity and relation to LGFMS.;"[Murshed, Khaled A.; Al-Bozom, Issam; Ammar, Adham] Hamad Med Corp, Dept Lab Med & Pathol, Doha, Qatar";Hamad Medical Corporation;Murshed, KA (corresponding author), Hamad Med Corp, Dept Lab Med & Pathol, Doha, Qatar.;kmurshed@hamad.qa;Murshed, Khaled/AAE-9720-2019;Murshed, Khaled/0000-0001-8045-363X;"DLMP at Hamad Medical Corporation, Qatar; Qatar National Library";"DLMP at Hamad Medical Corporation, Qatar; Qatar National Library(Qatar National Research Fund (QNRF))";We would like to express our special thanks to Dr Einas Al-Kuwari, the chairperson of DLMP at Hamad Medical Corporation, Qatar, for her support. Open access funding provided by the Qatar National Library.;;37;7;7;0;0;WILEY;HOBOKEN;111 RIVER ST, HOBOKEN 07030-5774, NJ USA;0903-4641;1600-0463;;APMIS;APMIS;AUG;2021;129;8;;;;;455;460;;10.1111/apm.13157;http://dx.doi.org/10.1111/apm.13157;;JUN 2021;6;"Immunology; Microbiology; Pathology";Science Citation Index Expanded (SCI-EXPANDED);"Immunology; Microbiology; Pathology";TI6DF;34048081;hybrid, Green Published;;;2024-04-12;WOS:000665809800001;View Full Record in Web of Science
J;"Kosemehmetoglu, K; Michal, M; Ardic, F; Sumathi, VP";;;;"Kosemehmetoglu, Kemal; Michal, Michael; Ardic, Fisun; Sumathi, V. P.";;;Sclerosing Epithelioid Fibrosarcoma of Bone: Morphological, Immunophenotypical and Molecular Findings of 8 Cases;LABORATORY INVESTIGATION;;;English;Meeting Abstract;109th Annual Meeting of the United-States-and-Canadian-Academy-of-Pathology (USCAP);FEB 28-MAR 05, 2020;Los Angeles, CA;US & Canadian Acad Pathol;;;;;"[Kosemehmetoglu, Kemal] Hacettepe Univ, Ankara, Turkey; [Michal, Michael] Biopt Lab Ltd, Plzen, Czech Republic; [Sumathi, V. P.] Royal Orthopaed Hosp, Birmingham, W Midlands, England; [Ardic, Fisun] Abdurrahman Yurtaslan Oncol Res & Training Hosp, Ankara, Turkey";"Hacettepe University; Royal Orthopaedic Hospital; Dr. Abdurrahman Yurtaslan Oncology Hospital";;;"Michal, Michael/I-3497-2017; Kosemehmetoglu, Kemal/A-2423-2016";Kosemehmetoglu, Kemal/0000-0002-7747-0460;;;;;0;0;0;0;1;ELSEVIER SCIENCE INC;NEW YORK;STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA;0023-6837;1530-0307;;LAB INVEST;Lab. Invest.;MAR;2020;100;SUPPL 1;;1;;67;58;59;;;;;;2;"Medicine, Research & Experimental; Pathology";"Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)";"Research & Experimental Medicine; Pathology";KS5DJ;;;;;2024-04-12;WOS:000518328800068;View Full Record in Web of Science
J;"Kosemehmetoglu, K; Michal, M; Ardic, F; Sumathi, VP";;;;"Kosemehmetoglu, Kemal; Michal, Michael; Ardic, Fisun; Sumathi, V. P.";;;Sclerosing Epithelioid Fibrosarcoma of Bone: Morphological, Immunophenotypical and Molecular Findings of 8 Cases;MODERN PATHOLOGY;;;English;Meeting Abstract;109th Annual Meeting of the United-States-and-Canadian-Academy-of-Pathology (USCAP);FEB 29-MAR 05, 2020;Los Angeles, CA;US & Canadian Acad Pathol;;;;;"[Kosemehmetoglu, Kemal] Hacettepe Univ, Ankara, Turkey; [Michal, Michael] Biopticka Lab Ltd, Plzen, Czech Republic; [Sumathi, V. P.] Royal Orthopaed Hosp, Birmingham, W Midlands, England";"Hacettepe University; Royal Orthopaedic Hospital";;;"Michal, Michael/I-3497-2017; Kosemehmetoglu, Kemal/A-2423-2016";Kosemehmetoglu, Kemal/0000-0002-7747-0460;;;;;0;0;0;0;1;SPRINGERNATURE;LONDON;CAMPUS, 4 CRINAN ST, LONDON, N1 9XW, ENGLAND;0893-3952;1530-0285;;MODERN PATHOL;Mod. Pathol.;MAR;2020;33;SUPPL 2;;2;;67;58;59;;;;;;2;Pathology;"Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)";Pathology;KS5DK;;;;;2024-04-12;WOS:000518328900068;View Full Record in Web of Science
J;"Wang, XX; Wang, J";;;;"Wang, Xiaoxia; Wang, Jian";;;Primary sclerosing epithelioid fibrosarcoma of the kidney: Report of two additional cases with a clinicopathological and molecular cytogenetic study;EXPERIMENTAL AND MOLECULAR PATHOLOGY;;;English;Article;;;;;;"Sclerosing epithelioid sarcoma; Kidney; Immunohistochemsitry; Florescence in site hybridization; EWSR1";TUMOR;We present two cases of sclerosing epithelioid fibrosarcoma (SEF) that arose primarily in the kidney. The tumor in both cases was located at the upper pole of the kidney. Clincially, they were suspected as renal cell carcinomas. However, histological examination revealed densely hyalinized epithelioid tumor suggestive of SEF. The diffuse immunohistochemical staining of MUC4 by neoplastic cells and the presence of EWSR1 gene rearrangement by subsequent florescence in site hybridization (FISH) analysis confirmed the histological diagnosis. Molecular cytogenetic study is highly helpful in arriving at a final diagnosis, in particular to a rare tumor type that arises at an unusual site.;"[Wang, Xiaoxia] Shanghai Jiao Tong Univ, Tongren Hosp, Sch Med, Dept Nephrol, Shanghai 200336, Peoples R China; [Wang, Jian] Fudan Univ, Shanghai Canc Ctr, Dept Pathol, Shanghai 200032, Peoples R China";"Shanghai Jiao Tong University; Fudan University";Wang, XX (corresponding author), Shanghai Jiao Tong Univ, Tongren Hosp, Sch Med, Dept Nephrol, Shanghai 200336, Peoples R China.;ouyang1985@sjtu.edu.cn;zhang, yuyang/IVV-5089-2023;;"National Natural Science Foudation of China [81270814, 81770718]; Shanghai Key Developing Disciplines [2015ZB0201]";"National Natural Science Foudation of China(National Natural Science Foundation of China (NSFC)); Shanghai Key Developing Disciplines";This study was supported in funding by National Natural Science Foudation of China (81270814, 81770718) and Shanghai Key Developing Disciplines (2015ZB0201).;;20;9;10;0;7;ACADEMIC PRESS INC ELSEVIER SCIENCE;SAN DIEGO;525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA;0014-4800;1096-0945;;EXP MOL PATHOL;Exp. Mol. Pathol.;APR;2019;107;;;;;;179;183;;10.1016/j.yexmp.2019.02.006;http://dx.doi.org/10.1016/j.yexmp.2019.02.006;;;5;Pathology;Science Citation Index Expanded (SCI-EXPANDED);Pathology;HQ6VC;30825419;;;;2024-04-12;WOS:000462555100021;View Full Record in Web of Science
J;"Genevay, M; Coindre, JM; Guillou, L";;;;"Genevay, M; Coindre, JM; Guillou, L";;;Recent entities in soft tissue tumor pathology. Part 2;ANNALES DE PATHOLOGIE;;;French;Article;;;;;;"soft tissue tumors; soft tissue giant-cell tumors; inflammatory myxohyaline tumor; inflammatory fibroblastic sarcoma; low-grade fibromyxoid Evans sarcoma; hyalinizing spindle-cell tumor with giant rosettes; spindle-cell liposarcoma; proximal type epithelioid sarcoma; sclerosing epithelioid fibrosarcoma";"GIANT-CELL TUMOR; GRADE FIBROMYXOID SARCOMA; SCLEROSING EPITHELIOID FIBROSARCOMA; MYXOINFLAMMATORY FIBROBLASTIC SARCOMA; PROXIMAL-TYPE; IMMUNOHISTOCHEMICAL ANALYSIS; CLINICOPATHOLOGICAL ANALYSIS; ROSETTES; VARIANT; FEATURES";The second part of this review on the pathology of soft tissue tumors focuses on malignant entities of recent description, including the following: soft tissue giant cell tumor, inflammatory myxohyaline tumor, inflammatory fibroblastic sarcoma, low grade fibro-myxoid Evans sarcoma and its variant, the hyalinizing spindle cell tumor with giant rosettes, spindle cell liposarcoma, proximal type epithelioid sarcoma, sclerosing epithelioid fibrosarcoma. For each entity, the diagnostic criteria, the clinical presentation and the differential diagnosis are described. The role of immunohistochemistry and molecular pathology in the identification and delineation of these new entities is emphasized.;"Univ Lausanne, Inst Pathol, CH-1011 Lausanne, Switzerland; Univ Bordeaux 2, Bordeaux, France; Inst Bergonie, Bordeaux, France";"University of Lausanne; Universite de Bordeaux; UNICANCER; Institut Bergonie";Guillou, L (corresponding author), Univ Lausanne, Inst Pathol, Rue du Bugnon 25, CH-1011 Lausanne, Switzerland.;louis.guillou@chuv.hospvd.ch;;;;;;;54;15;15;0;1;MASSON EDITEUR;MOULINEAUX CEDEX 9;21 STREET CAMILLE DESMOULINS, ISSY, 92789 MOULINEAUX CEDEX 9, FRANCE;0242-6498;;;ANN PATHOL;Ann. Pathol.;APR;2003;23;2;;;;;135;148;;;;;;14;Pathology;Science Citation Index Expanded (SCI-EXPANDED);Pathology;691GG;12843968;;;;2024-04-12;WOS:000183597200004;View Full Record in Web of Science
J;"Jiao, YF; Nakamura, S; Sugai, T; Uesugi, N; Habano, W; Ogata, M; Fujioka, T";;;;"Jiao, YF; Nakamura, S; Sugai, T; Uesugi, N; Habano, W; Ogata, M; Fujioka, T";;;Overexpression of MDM2 in a sclerosing epithelioid fibrosarcoma: Genetic, immunohistochemical and ultrastructural study of a case;PATHOLOGY INTERNATIONAL;;;English;Article;;;;;;"electron microscopy; immunohistochemistry; MDM2; p53; retroperitoneum; sclerosing epithelioid fibrosarcoma";"P53-INDEPENDENT ROLE; P53; TUMOR; AMPLIFICATION; CARCINOMA; SARCOMAS; MUTATION; VARIANT";Sclerosing epithelioid fibrosarcoma (SEF) is an extremely rare soft-tissue neoplasm. Here, we describe the molecular genetic alterations and histological, immunohistochemical and ultrastructural features of a primary SEF arising in the retroperitoneum. The tumor consisted of uniform small round to ovoid epithelioid cells, arranged in nests and cords and surrounded by a prominent hyalinized collagenous matrix. The tumor cells expressed only vimentin. Ultrastructurally, the tumor cells showed features of fibroblasts, with an abundant rough endoplasmic reticulum in the cytoplasm. Neither p53 gene mutations nor p53 protein overexpression were detected, but more than 70% of all tumor cells showed strong immunoreactivity with murine double minute 2 (MDM2). Our results suggest that MDM2 overexpression is likely to play a role in tumorigenesis in this lesion in p53-dependent or p53-independent pathways. To our knowledge, the present study is the first molecular genetic study of this rare lesion. Further studies will be necessary to clarify the molecular basis of tumorigenesis of this rare lesion.;"Iwate Med Univ, Sch Med, Cent Clin Lab, Div Pathol, Morioka, Iwate 0208505, Japan; Iwate Med Univ, Sch Med, Dept Urol, Morioka, Iwate 020, Japan";"Iwate Medical University; Iwate Medical University";Nakamura, S (corresponding author), Iwate Med Univ, Sch Med, Cent Clin Lab, Div Pathol, Uchimaru 19-1, Morioka, Iwate 0208505, Japan.;;;;;;;;20;12;19;0;2;BLACKWELL PUBLISHING ASIA;CARLTON;54 UNIVERSITY ST, P O BOX 378, CARLTON, VICTORIA 3053, AUSTRALIA;1320-5463;;;PATHOL INT;Pathol. Int.;FEB;2002;52;2;;;;;135;140;;10.1046/j.1440-1827.2002.01326.x;http://dx.doi.org/10.1046/j.1440-1827.2002.01326.x;;;6;Pathology;Science Citation Index Expanded (SCI-EXPANDED);Pathology;549CL;11940218;Bronze;;;2024-04-12;WOS:000175426900007;View Full Record in Web of Science
J;"Shenoy, A; Surrey, L; Jain, P; Foster, J; Straka, J; Resnick, A; Waanders, A; Luo, MJ; Li, M; Kazahaya, K; Bagatell, R; Wojcik, J; Pogoriler, J";;;;"Shenoy, Archana; Surrey, Lea; Jain, Payal; Foster, Jessica; Straka, Joshua; Resnick, Adam; Waanders, Angela; Luo, Minjie; Li, Marilyn; Kazahaya, Ken; Bagatell, Rochelle; Wojcik, John; Pogoriler, Jennifer";;;Sclerosing Epithelioid Fibrosarcoma of the Bone With Rare EWSR1-CREB3L3 Translocation Driving Upregulation of the PI3K/mTOR Signaling Pathway;PEDIATRIC AND DEVELOPMENTAL PATHOLOGY;;;English;Article;;;;;;"EWSR1 translocation; sclerosing epithelioid fibrosarcoma; Ewing sarcoma; bone tumors; sarcoma; molecular oncology";"SARCOMA; PATTERNS; TUMORS";Sclerosing epithelioid fibrosarcoma (SEF) is an uncommon neoplasm that rarely presents in bone. It is characterized by epithelioid cells arranged in nests and single-file cords within a sclerotic stromal background which may mimic neoplastic bone. SEF harbors an EWSR1 translocation, which may complicate its distinction from Ewing sarcoma in cases with histomorphologic overlap. We present a diagnostically challenging case of SEF in the mandible of a 16-year-old girl. Our experience highlights the lack of specificity of traditional morphology and EWSR1 break-apart fluorescent in situ hybridization. Open-ended RNA-based fusion gene testing coupled with MUC4 immunohistochemistry aided the eventual diagnosis in this case. Herein, we report the third case of SEF with EWSR1-CREB3L3 translocation and show that this fusion leads to aberrant upregulation of the phosphoinositide 3-kinase/mammalian target of rapamycin signaling pathway in heterologous cell models.;"[Shenoy, Archana] Univ Florida, Coll Med, Gainesville, FL 32610 USA; [Surrey, Lea; Pogoriler, Jennifer] Childrens Hosp Philadelphia, Pathol Immunol & Lab Med, Philadelphia, PA 19104 USA; [Jain, Payal; Straka, Joshua; Resnick, Adam; Waanders, Angela] Childrens Hosp Philadelphia, Ctr Data Driven Discovery Biomed, Philadelphia, PA 19104 USA; [Foster, Jessica; Bagatell, Rochelle] Childrens Hosp Philadelphia, Div Oncol Pediat, Philadelphia, PA 19104 USA; [Waanders, Angela] Northwestern Univ, Feinberg Sch Med, Philadelphia, PA USA; [Luo, Minjie; Li, Marilyn] Childrens Hosp Philadelphia, Div Genom Diagnost, Philadelphia, PA 19104 USA; [Kazahaya, Ken] Childrens Hosp Philadelphia, Philadelphia, PA 19104 USA; [Kazahaya, Ken] Univ Penn, Perelman Sch Med, Clin Otorhinolaryngol, Philadelphia, PA 19104 USA; [Wojcik, John] Univ Penn, Perelman Sch Med, Philadelphia, PA 19104 USA";"State University System of Florida; University of Florida; University of Pennsylvania; Pennsylvania Medicine; Childrens Hospital of Philadelphia; University of Pennsylvania; Pennsylvania Medicine; Childrens Hospital of Philadelphia; University of Pennsylvania; Pennsylvania Medicine; Childrens Hospital of Philadelphia; Northwestern University; Feinberg School of Medicine; University of Pennsylvania; Pennsylvania Medicine; Childrens Hospital of Philadelphia; University of Pennsylvania; Pennsylvania Medicine; Childrens Hospital of Philadelphia; University of Pennsylvania; University of Pennsylvania";Shenoy, A (corresponding author), Univ Florida, Dept Pathol, Coll Med, 1600 SW Archer Rd, Gainesville, FL 32610 USA.;ashenoy@ufl.edu;"Surrey, Lea/HHS-2541-2022; Pogoriler, Jennifer/AGK-0523-2022";"Surrey, Lea/0000-0002-6944-2232; Pogoriler, Jennifer/0000-0001-9366-4401; Jain, Payal/0000-0002-5914-9083; Foster, Jessica/0000-0002-8001-5960; Resnick, Adam/0000-0003-0436-4189";Children's Brain Tumor Tissue Consortium;Children's Brain Tumor Tissue Consortium;The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This work was partially supported by Children's Brain Tumor Tissue Consortium.;;20;11;11;0;4;SAGE PUBLICATIONS INC;THOUSAND OAKS;2455 TELLER RD, THOUSAND OAKS, CA 91320 USA;1093-5266;1615-5742;;PEDIATR DEVEL PATHOL;Pediatr. Dev. Pathol.;DEC;2019;22;6;;;;;594;598;1.09353E+15;10.1177/1093526619864230;http://dx.doi.org/10.1177/1093526619864230;;JUL 2019;5;"Pathology; Pediatrics";Science Citation Index Expanded (SCI-EXPANDED);"Pathology; Pediatrics";JO0LM;31335288;;;;2024-04-12;WOS:000478184200001;View Full Record in Web of Science
J;Folpe, AL;;;;Folpe, Andrew L.;;;Fibrosarcoma: a review and update;HISTOPATHOLOGY;;;English;Review;;;;;;"dermatofibrosarcoma protuberans; fibrosarcoma; immunohistochemistry; low-grade fibromyxoid sarcoma; molecular genetics; sclerosing epithelioid fibrosarcoma";"GRADE FIBROMYXOID SARCOMA; SCLEROSING EPITHELIOID FIBROSARCOMA; MALIGNANT FIBROUS HISTIOCYTOMA; SPINDLE-CELL TUMOR; POLYMERASE-CHAIN-REACTION; DIAGNOSTIC IMMUNOHISTOCHEMICAL MARKER; MOHS MICROGRAPHIC SURGERY; SOFT-TISSUE SARCOMAS; SSX FUSION TYPE; DERMATOFIBROSARCOMA PROTUBERANS";Adult fibrosarcoma, defined by the World Health Organization as a malignant neoplasm composed of fibroblasts with variable collagen production and, in classical cases, a herringbone architecture', is a very rare soft tissue sarcoma. Once considered the most common adult sarcoma, the incidence of adult fibrosarcoma has declined dramatically over the past several decades. This is due to (i) evolution in the classification of soft tissue tumours (ii) recognition of clinically, morphologically and genetically distinctive subtypes of fibrosarcoma and (iii) increased understanding of the many other mesenchymal and non-mesenchymal tumours that may mimic fibrosarcoma. This review article will summarize the current state of our knowledge about strictly defined adult fibrosarcoma and discuss important entities in its differential diagnosis, including various fibrosarcoma variants, monophasic synovial sarcoma and other potential mesenchymal and non-mesenchymal mimics.;Mayo Clin, Dept Lab Med & Pathol, Rochester, MN 55905 USA;Mayo Clinic;Folpe, AL (corresponding author), Mayo Clin, Dept Lab Med & Pathol, 200 1st St SW, Rochester, MN 55905 USA.;Folpe.Andrew@Mayo.edu;;;;;;;99;73;77;0;17;WILEY;HOBOKEN;111 RIVER ST, HOBOKEN 07030-5774, NJ USA;0309-0167;1365-2559;;HISTOPATHOLOGY;Histopathology;JAN;2014;64;1;;;;;12;25;;10.1111/his.12282;http://dx.doi.org/10.1111/his.12282;;;14;"Cell Biology; Pathology";Science Citation Index Expanded (SCI-EXPANDED);"Cell Biology; Pathology";269CU;24266941;;;;2024-04-12;WOS:000328219100003;View Full Record in Web of Science
